"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzUyOTEyMjIzNDI2OjE2NzkzMjU0MDM6c3BfYXRmX25leHQ6MjAwOTc2MTIyMzEyOTg6OjA6Og&url=%2Fuppercase-Overnighter-Backpack-Repellent-Sustainable%2Fdp%2FB0B8NV9YX3%2Fref%3Dsr_1_257_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325403%26sprefix%3Dba%252Caps%25252%26sr%3D8-257-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","uppercase Medium 21 Ltrs Office Overnighter (14.6 inch) Laptop Backpack 2700EBP1 3x More Water Repellent Sustainable Bags with Rain Proof Zippers Maroon","3.4 out of 5 stars","(17)","₹1,550"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzUyOTEyMjIzNDI2OjE2NzkzMjU0MDM6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjg5OTg6OjA6Og&url=%2FEUME-Crystal-Laptop-Backpack-Resistance%2Fdp%2FB07GLNJ36T%2Fref%3Dsr_1_258_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325403%26sprefix%3Dba%252Caps%25252%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","EUME Crystal 22 Liters 1 Large Compartment Laptop Backpacks Fit Up to 14-inch Laptop Anti-Theft Zipper Polyester Fabric College, Office, and Mini Business Trip Travel Bags - Black","4.4 out of 5 stars","(206)","₹2,199"
"https://www.amazon.in/POLICE-Stylish-Premium-Quality-Backpack/dp/B084Q4N84P/ref=sr_1_259?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-259","POLICE Walt Laptop Backpack Business Office College Travel Bags for Men Fits Up to 15 inch Laptop Notebook - Black","4.1 out of 5 stars","(620)","₹1,689"
"https://www.amazon.in/GoTrippin-Camping-Outdoors-Polyester-Adjustable/dp/B088LHS5LP/ref=sr_1_260?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-260","GoTrippin Waist Bags for Men Women- Premium Stitching, Branded Zippers, Waterproof pocket, RFID safe- Large Fanny pack for Hiking Travel Camping Running Sports Outdoors, Money Belt with Adjustable Strap (Polyester,Black)","4.4 out of 5 stars","(1,896)","₹999"
"https://www.amazon.in/TRAVALATE-Backpack-Charging-Collage-Business/dp/B0BLK8CF12/ref=sr_1_261?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-261","TRAVALATE Laptop Backpack with USB Charging Port for Travel, Office, Collage, Business Bag, Gift for Men and Women","4.1 out of 5 stars","(12)","₹698"
"https://www.amazon.in/Scratch-Resistant-Anti-Theft-Shoulder-Earphone/dp/B084RHGTCQ/ref=sr_1_262?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-262","Arctic Hunter Sling Bag for Men,Chest Bag for Men Crossbody Bag for Men Stylish Shoulder Bag for Men Water&Scratch Resistant,Anti-Theft Mens Sling Bag Side Bag with USB Charging Port Earphone Port Fit Up to 10inch iPad.Black","4.5 out of 5 stars","(528)","₹1,804"
"https://www.amazon.in/Ace-Laptop-Backpack-Charging-College/dp/B09ZB5HGWB/ref=sr_1_263?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-263","Large 26L Ace Laptop Backpack Laptop Bag | Office Bag With USB Charging Port | College Bag","4.0 out of 5 stars","(1)","₹569"
"https://www.amazon.in/Vezela-Laptop-Charging-Feature-Pencil/dp/B077KXTZ2K/ref=sr_1_264?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-264","Vezela Set of 4 Casual Laptop Bag (35L) with USB Charging Feature with Lunch Bag, Pencil Case & Pouch, School Bag for Girls and Boys, College Bags for Girls, Laptop Backpack","4.2 out of 5 stars","(970)","₹1,899"
"https://www.amazon.in/Fashion-Backpack-College-Multicolour-MOOW_PEECH_0165/dp/B0BL87683Q/ref=sr_1_265?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-265","Style Fashion Girls Backpack With Korean Design For School , travel College Office Bag Laptop Backpack With Multicolour(MOOW_PEECH_0165)","","M.R.P:","₹399"
"https://www.amazon.in/TRAWOC-Backpack-Outdoor-Trekking-Rucksack/dp/B07XY6BFXJ/ref=sr_1_266?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-266","TRAWOC 55 LTR Travel Backpack Daypack bag for Camping Hiking Trekking, English Blue, SHK014","4.2 out of 5 stars","(2,377)","₹1,417"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzUyOTEyMjIzNDI2OjE2NzkzMjU0MDM6c3BfbXRmOjIwMTE0NDE0MjI5NDk4OjowOjo&url=%2FEUME-Laptop-Backpack-Resistance-Charging%2Fdp%2FB07G13L78X%2Fref%3Dsr_1_267_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325403%26sprefix%3Dba%252Caps%25252%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","EUME Iris 23 LTR Laptop Backpack for 14 inch Laptop - Blue Series","4.2 out of 5 stars","(140)","₹2,199"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzUyOTEyMjIzNDI2OjE2NzkzMjU0MDM6c3BfbXRmOjIwMTI2NTgyNDM2MDk4OjowOjo&url=%2FVeneer-Genuine-Leather-Backpack-Business%2Fdp%2FB0BX16G1G6%2Fref%3Dsr_1_268_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325403%26sprefix%3Dba%252Caps%25252%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","Veneer Vegan Genuine Leather Backpack 15.6 Inch Laptop Backpack Business Travel Laptop Backpack for Mens and Womens","","M.R.P:","₹2,498"
"https://www.amazon.in/Skybags-Brat-Polyester-Casual-Backpack/dp/B0BBPPM33V/ref=sr_1_269?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-269","Skybags Brat 22L Red Polyester Casual Backpack","4.0 out of 5 stars","(222)","₹702"
"https://www.amazon.in/Heart-Home-Printed-Backpack-HS_38_HEARTH21105/dp/B095CGX9RT/ref=sr_1_270?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-270","Heart Home Rexien Disney Mickey Mouse Printed Kids School Bag|Zipper Closure With 3 Comparments|Size 27 x 22 x 40 CM (Green)-HS_38_HEARTH21105","3.9 out of 5 stars","(181)","₹697"
"https://www.amazon.in/Baggit-Womens-Sling-bag-Yellow/dp/B09X72S4ZS/ref=sr_1_271?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-271","Baggit Women's Sling bag (Yellow)","","M.R.P:","₹519"
"https://www.amazon.in/Wildcraft-Solid-Backpack-Grey-11911/dp/B07N1CM9QS/ref=sr_1_272?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-272","Wildcraft 35 Ltrs 18.5 cms Backpack (11911 Grey_Grey)","4.2 out of 5 stars","(160)","₹1,266"
"https://www.amazon.in/Wildcraft-Hopper-Laptop-Backpack-Blue/dp/B07YNL6H8H/ref=sr_1_273?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-273","Wildcraft Hopper 1.0 Laptop Backpack 24L (Blue)","4.5 out of 5 stars","(2)","₹1,390"
"https://www.amazon.in/Skybags-Unisex-Grey-Jacqard-Laptop/dp/B09ZV9SLBJ/ref=sr_1_274?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-274","Skybags Unisex Grey Jacqard 34L Laptop Bags","3.9 out of 5 stars","(20)","₹1,213"
"https://www.amazon.in/F-Gear-President-Brown-Laptop-Backpack/dp/B06XW7FSHF/ref=sr_1_275?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-275","F Gear President Brown 30 liter Laptop Backpack Sch Bag","4.3 out of 5 stars","(510)","₹1,011"
"https://www.amazon.in/AirCase-C30-Messenger-Compartments-Multi-Pockets/dp/B07V47HHRG/ref=sr_1_276?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325403&sprefix=ba%2Caps%252&sr=8-276","AirCase Office Sling Messenger Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Spacious Pockets for Office/Travel, Black- With Warranty","3.8 out of 5 stars","(1,164)","₹1,451"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzUyOTEyMjIzNDI2OjE2NzkzMjU0MDM6c3BfYnRmOjIwMTExODI1MjI3MDk4OjowOjo&url=%2FGenie-Flamenco2-Backpack-Compatible-Resistant%2Fdp%2FB08YF1XJXY%2Fref%3Dsr_1_277_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325403%26sprefix%3Dba%252Caps%25252%26sr%3D8-277-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College","4.4 out of 5 stars","(1,025)","₹640"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NzM1NzUyOTEyMjIzNDI2OjE2NzkzMjU0MDM6c3BfYnRmOjIwMTMxNTk0MzIzMjk4OjowOjo&url=%2FBACDA-Backpack-College-Business-Multifunctional%2Fdp%2FB0BW987XQP%2Fref%3Dsr_1_278_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325403%26sprefix%3Dba%252Caps%25252%26sr%3D8-278-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","BACDA 24 L Casual Laptop Backpack fits 15.6 inch/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Outdoor Backpack Multifunctional Laptop Bag","5.0 out of 5 stars","(2)","₹839"